AARDVARKS,AARDVARK(South African) a nocturnal
HYPERNYMS,HYPERNYMa word representing a class of words or things
HYPERNYMY,the state of being a hypernyma word representing a class of words or things [n HYPERNYMIES]
HYPEROPES,HYPEROPEa farsighted person [n]
HYPEROPIA,longsightednessaka hypermetropia [n -S]
HYPEROPIC,suffering from hyperopialongsightedness [adj]
HYPERPNEA,abnormally fast breathingalso HYPERPNOEA [n -S]
HYPERPURE,excessively pure [adj]
HYPERREAL,involving particularly graphical representation [adj] / that which constitutes hyperreality [n -S]
HYPERTEXT,computer software and hardware that allows users to createstore
HYPESTERS,HYPESTERa person or organisation that gives a product intense publicity in order to promote it [n]
HYPETHRAL,roofless; open to the sky (usually intentionallyso as to see the stars)
HYPHEMIAS,HYPHEMIAa blood deficiency [n]
HYPHENATE,to insert a hyphen into [v HYPHENATEDHYPHENATING
HYPHENING,HYPHENto connect words with a punctuation mark [v]
HYPHENISE,to put a hyphen inalso HYPHENIZE [v HYPHENISED
HYPHENISM,the practice of inserting hyphens [n -S]
HYPHENIZE,to put a hyphen inalso HYPHENISE [v HYPHENIZED
HYPINOSES,HYPINOSISa diminution in the normal amount of fibrin present in the blood [n]
HYPINOSIS,a diminution in the normal amount of fibrin present in the blood [n HYPINOSES]
HYPNOGENY,production of the hypnotic statealso HYPNOGENESIS [n HYPNOGENIES]
HYPNOIDAL,like sleep or hypnosisalso HYPNOID [adj]
HYPNOLOGY,the study of sleep or hypnosis [n HYPNOLOGIES]
HYPNOTEES,HYPNOTEEa hypnotized person [n]
HYPNOTICS,HYPNOTICa soporific; a person in a state of hypnosis [n]
HYPNOTISE,to put in a state of hypnosisalso HYPNOTIZE [v HYPNOTISED
HYPNOTISM,the science or practice of hypnosis [n -S]
HYPNOTIST,one who practises hypnotism [n -S]
HYPNOTIZE,to put in a state of hypnosisalso HYPNOTISE [v HYPNOTIZED
HYPNOTOID,like hypnosis [adj]
HYPOBARIC,below normal pressure [adj]
HYPOBLAST,the inner or lower layer of the blastoderm [n -S]
HYPOBOLES,HYPOBOLEthe anticipation and refutal of objections to an argument [n]
HYPOCAUST,an ancient air chamber or series of chambers for heating rooms [n -S]
HYPOCISTS,HYPOCISTa plant parasitic on cistus roots [n]
HYPOCOTYL,the stem of a plant below the cotyledons [n -S]
HYPOCRISY,a feigning to be better than one isor to be what one is not [n HYPOCRISIES]
HYPOCRITE,one who pretends to be better or other than they are [n -S]
HYPODERMA,a layer of tissue beneath the epidermis in plantsand performing the physiological function of strengthening the epidermal tissue [n -S]
HYPODERMS,HYPODERMthe tissue next under the epidermis
HYPOGAEAL,germinating with cotyledons undergroundalso HYPOGAEAN
HYPOGAEAN,germinating with cotyledons undergroundalso HYPOGAEAL
HYPOGAEUM,(Greek) an underground chamberalso HYPOGEUM [n HYPOGAEA]
HYPOGENIC,formed or occurring beneath the surface of the earthalso HYPOGENE [adj]
HYPOGEOUS,germinating with cotyledons undergroundalso HYPOGAEAL
HYPOMANIA,slightly abnormal overactivity and elation [n -S]
HYPOMANIC,relating to hypomaniaa mild form of mania [adj] / one afflicted with hypomania [n -S]
HYPOMORPH,a mutant gene but having a similar but weaker effect than the corresponding wild-type gene [n -S]
HYPONASTY,a tendency in part of a plant to grow more rapidly on the undersideso that it curves upwards [n HYPONASTIES]
HYPONOIAS,HYPONOIAa dulled mental activity
HYPOPHYGE,the curve where a column merges in its base or capital [n -S]
HYPOPLOID,a chromosome number a few below the normal diploid number [n -S]
HYPOPNEAS,HYPOPNEAabnormally shallow breathing
HYPOPNEIC,related to hypopneaabnormally shallow breathing [adj]
HYPOPNOEA,abnormally shallow breathingalso HYPOPNEA [n -S]
HYPOPYONS,HYPOPYONan accumulation of pus in the eye [n]
HYPOSTOME,any of several structures associated with the mouth in different invertebrates [n -S]
HYPOSTYLE,having a roof supported by columns [adj] / a building with a roof supported by columns [n -S]
HYPOTAXES,HYPOTAXISa dependent or subordinate relationship of clauses with conjunctions [n]
HYPOTAXIS,a dependent or subordinate relationship of clauses with conjunctions [n HYPOTAXES]
HYPOTHECA,the inner and younger layer of the cell wall of a diatom [n HYPOTHECAE]
HYPOTHECS,HYPOTHECin the law of Scotland
HYPOTONIA,a hypnotic condition [n -S]
HYPOTONIC,of muscleslacking normal tone [adj]
HYPOXEMIA,deficiency of oxygenation of the bloodalso HYPOXAEMIA
HYPOXEMIC,suffering from hypoxemiadeficiency of oxygenation of the blood [adj]
HYRACOIDS,HYRACOIDany member of a genus of mammals including the daman and the dassie or hyrax
HYSTERIAS,HYSTERIAuncontrollable excitement or fear [n]
HYSTERICS,HYSTERICone who is subject to fits of hysteria [n]
HYSTEROID,like hysteriaalso HYSTEROIDAL [adj]
IATROGENY,the study of diseases or conditions induced in a patient by a doctor or medical treatment [n IATROGENIES]
IBOGAINES,IBOGAINEan alkaloid used as an antidepressant [n]
IBUPROFEN,an anti-inflammatory drug [n -S]
ICEBLINKS,ICEBLINKa glare in the sky caused by light reflected off ice [n]
ICEBOATED,ICEBOATto travel by iceboat [v]
ICEBOATER,one who travels by iceboat [n -S]
ICECAPPED,covered with caps of ice and snow [adj]
ICEFIELDS,ICEFIELDa large ice covered area [n]
ICEFISHED,ICEFISHto fish through a hole in the ice on lake or river [v]
ICEFISHES,ICEFISHto fish through a hole in the ice on lake or river [v]
ICEHOUSES,ICEHOUSEan underground cellar lined with ice
ICEKHANAS,ICEKHANAan automotive event held on a frozen lake [n]
ICEMAKERS,ICEMAKERan appliance that makes ice [n]
ICESCAPES,ICESCAPEa landscape covered in ice [n]
ICESTONES,ICESTONEanother name for cryolite
ICHNEUMON,(Greek) the Egyptian mongoosefound over much of Africa and parts of southern Europe [n -S]
ICHNOLITE,a fossil footprintalso ICHNITE [n -S]
ICHNOLOGY,a branch of paleontology dealing with the study of fossilized footprintstracks
ICHTHYOID,fishlikealso ICHTHYOIDAL [adj] / any fishlike creature [n -S]
ICHTHYSES,ICHTHYS(Greek) an emblematic fish symbolizing Christ
ICINESSES,ICINESSthe state of being icy [n]
ICONICITY,the state of being iconic [n ICONICITIES]
ICONIFIED,ICONIFYto reduce to an icon on a computer screen [v]
ICONIFIES,ICONIFYto reduce to an icon on a computer screen [v]
ICONISING,ICONISEto venerate
ICONIZING,ICONIZEto venerate
ICONOLOGY,a branch of art history dealing with iconic representations [n ICONOLOGIES]
ICONOSTAS,(Greek) in Eastern churchesa screen separating the sanctuary from the nave
ICTERICAL,a remedy for icterusjaundice
ICTERUSES,ICTERUS(Greek) a diseased condition of the liver
IDEALISED,IDEALISEto regard as perfect
IDEALISER,one who idealisesalso IDEALIZER [n -S]
IDEALISES,IDEALISEto regard as perfect
IDEALISMS,IDEALISMthe pursuit of noble goals [n]
IDEALISTS,IDEALISTan adherent of idealism [n]
IDEALIZED,IDEALIZEto regard as perfect
IDEALIZER,one who idealizesalso IDEALISER [n -S]
IDEALIZES,IDEALIZEto regard as perfect
IDEALLESS,without ideals [adj]
IDEALNESS,the state of being ideal [n -ES]
IDEALOGUE,a doctrinaire adherent of an ideologyalso IDEOLOGUE [n -S]
IDEATIONS,IDEATIONthe power of the mind to form images [n]
IDENTICAL,exactly the samealso IDENTIC [adj IDENTICALLY]
IDENTIKIT,a reconstructed picture of a person (esp. a suspect sought by police) assembled from features described by a witness or witnesses [n -S]
IDEOGRAMS,IDEOGRAMa symbol that stands for a concept rather than a word [n]
IDEOGRAPH,a symbol in picture-writing representing the idea of a thing [n -S]
IDEOLOGIC,relating to or concerned with ideologyalso IDEOLOGICAL [adj IDEOLOGICALLY]
IDEOLOGUE,a doctrinaire adherent of an ideologyalso IDEALOGUE [n -S]
IDEOMOTOR,describing or relating to a muscular action that is evoked by an idea [adj]
IDEOPHONE,a word that is spoken but not written [n -S]
IDEOPOLIS,a city that is sustained primarily by intellectual enterprises such as educationthe media
IDIOBLAST,a plant cell that differs from neighbouring cells in the same tissue [n -S]
IDIOGRAMS,IDIOGRAMa diagram of chromosomes in pairs [n]
IDIOGRAPH,a private marka trademark [n -S]
IDIOLECTS,IDIOLECTan individual's distinctive form of speech [n]
IDIOMATIC,peculiar to or of the nature of an idiomalso IDIOMATICAL [adj IDIOMATICALLY]
IDIOPATHY,a disease of unknown origin or one having no apparent cause [n IDIOPATHIES]
IDIOPHONE,a percussion instrument made of naturally resonant material [n -S]
IDIOPLASM,the part of the protoplasm bearing hereditary characteristics [n -S]
IDIOTCIES,IDIOTCYthe state of being an idiot
IDIOTICAL,relating to or like an idiotalso IDIOTIC [adj IDIOTICALLY]
IDIOTICON,a dialect dictionary [n -S]
IDIOTISMS,IDIOTISMthe state of being an idiot
IDIOTYPES,IDIOTYPEthe unique part of an antibody [n]
IDIOTYPIC,of or like an idiotypethe unique part of an antibody [adj]
IDLEHOODS,IDLEHOOD(archaic) idleness [n]
IDOCRASES,IDOCRASEanother name for the mineral vesuvianite [n]
IDOLATERS,IDOLATERone that worships idols
IDOLATORS,IDOLATORone that worships idols
IDOLISERS,IDOLISERone who idolises
IDOLISING,IDOLISEto worship
IDOLIZERS,IDOLIZERone who idolises
IDOLIZING,IDOLIZEto worship
IDYLLISTS,IDYLLISTa writer of idyls
IGNESCENT,capable of emitting sparks [adj] / an ignescent substance [n -S]
IGNIFYING,IGNIFYto burn [v]
IGNITABLE,that can be ignitedalso IGNITIBLE [adj]
IGNITIBLE,that can be ignitedalso IGNITABLE [adj]
IGNITIONS,IGNITIONthe act of igniting [n]
IGNITRONS,IGNITRONa device for conducting current in which an electrode dips into a pool of mercury and draws up an arc to start ionization [n]
IGNOBLEST,IGNOBLEnot noble
IGNORABLE,that can be ignored [adj]
IGNORAMUS,an ignorant person [n IGNORAMUSES or (wrongly) IGNORAMI]
IGNORANCE,lack of knowledge [n -S]
IGNORANTS,IGNORANTan ignorant person [n]
IGUANIANS,IGUANIANan animal of the iguana family [n]
IGUANODON,a genus of gigantic herbivorous dinosaurs having a birdlike pelvis and large hind legs [n -S]
ILEITIDES,ILEITISinflammation of the ileum [n]
ILEITISES,ILEITISinflammation of the ileum [n]
ILEOSTOMY,removal of the ileumthe anterior or superior bone of the pelvis [n ILEOSTOMIES]
ILIACUSES,ILIACUS(Latin) the flexor muscle of the thigh [n]
ILLAPSING,ILLAPSEto glide in [v]
ILLATIONS,ILLATIONthe act of inferring from premises [n]
ILLATIVES,ILLATIVEa grammatical case indicating movement into or toward [n]
ILLAWARRA,a breed of shorthorn dairy cattle [n -S]
ILLEGALLY,ILLEGALnot legal [adv]
ILLEGIBLE,not legible [adj ILLEGIBLY]
ILLEGIBLY,ILLEGIBLEnot legible [adv]
ILLIBERAL,narrow-mindedintolerant or prejudiced [adj ILLIBERALLY]
ILLICITLY,ILLICITunlawful
ILLIMITED,not limited; interminable [adj]
ILLINIUMS,ILLINIUMa former name for the element promethium [n]
ILLISIONS,ILLISIONthe act of striking against something [n]
ILLNESSES,ILLNESSsickness [n]
ILLOGICAL,not logicalalso UNLOGICAL [adj ILLOGICALLY]
ILLUMINED,ILLUMINEto throw light upon
ILLUMINER,one who illumines [n -S]
ILLUMINES,ILLUMINEto throw light upon
ILLUSIONS,ILLUSIONa false perception [n]
ILLUVIATE,to deposit illuviummaterial removed from soil layer by rainwater and deposited in lower layer [v ILLUVIATED
ILLUVIUMS,ILLUVIUMmaterial removed from the soil layer by rainwater and deposited in a lower layer [n]
ILMENITES,ILMENITEa brownish-black titanium ore [n]
IMAGEABLE,that may be imaged [adj]
IMAGELESS,having no image [adj]
IMAGERIES,IMAGERYa mental picture [n]
IMAGINARY,imagined [adj IMAGINARILY] / an imaginary quantity or expression [n IMAGINARIES]
IMAGINEER,to design and create something new and imaginative [v -ED-ING
IMAGINERS,IMAGINERone who imagines [n]
IMAGINING,the act of imagining [n -S]
IMAGINIST,a person with an active imagination [n -S]
IMAGISTIC,relating to imagismthe artistic doctrine of the use of precise images with unrestricted subject matter [adj IMAGISTICALLY]
IMBALANCE,lack of balance [n -S]
IMBALMERS,IMBALMERone who imbalms
IMBALMING,IMBALMto impregnate with balm or perfume e.g. to preserve a dead body
IMBARKING,IMBARKto enclose in bark [v]
IMBARRING,IMBAR(obsolete) to bar in; to secure
IMBATHING,IMBATHE(archaic) to bathe
IMBECILES,IMBECILEa mentally deficient person [n]
IMBECILIC,like an imbecile [adj IMBECILICALLY]
IMBEDDING,IMBEDto plant firmly
IMBITTERS,IMBITTERto make bitter
IMBLAZING,IMBLAZEto adorn with glittering embellishments
IMBODYING,IMBODYto form into a body
IMBOLDENS,IMBOLDENto instil with courage
IMBORDERS,IMBORDERto provide with a border
IMBOSKING,IMBOSKto go deep into the woods [v]
IMBOSOMED,IMBOSOMto embrace
IMBOSSING,IMBOSSto decorate with a raised design
IMBOWERED,IMBOWERto give shelter
IMBRANGLE,(archaic) to confuse or perplexalso EMBRANGLE [v IMBRANGLED
IMBRICATE,overlapping [adj IMBRICATELY] / to lay overlapping one another [v IMBRICATEDIMBRICATING
IMBROGLIO,(Italian) a confusing or disturbing situationalso EMBROGLIO [n -S]
IMBROWNED,IMBROWNto make brown
IMBRUTING,IMBRUTE(archaic) to degrade to the state of a brute
IMBUEMENT,the act of imbuing [n -S]
IMBURSING,IMBURSEto put in a purse [v]
IMIDAZOLE,a white crystalline compoundalso IMINAZOLE [n -S]
IMINAZOLE,a white crystalline compoundalso IMIDAZOLE [n -S]
IMINOUREA,a strongly basic compound used in organic synthesisaka guanidine [n -S]
IMIPENEMS,IMIPENEMa drug used to kill bacteria [n]
IMITATING,IMITATEto behave in the same way as [v]
IMITATION,the act of imitatinga copy [n -S]
IMITATIVE,inclined to imitate; formed after a model [adj IMITATIVELY]
IMITATORS,IMITATORone that imitates [n]
IMMANACLE,(Milton) to put in manacles [v IMMANACLEDIMMANACLING
IMMANENCE,the state of being immanentalso IMMANENCY [n -S]
IMMANENCY,the state of being immanentalso IMMANENCE [n IMMANENCIES]
IMMANTLED,IMMANTLEto cloak in a mantle [v]
IMMANTLES,IMMANTLEto cloak in a mantle [v]
IMMASKING,IMMASK(Shakespeare) to mask or disguise [v]
IMMATURER,IMMATUREnot mature [adj]
IMMATURES,IMMATUREan immature animal [n]
IMMEDIACY,the quality of being immediate [n IMMEDIACIES]
IMMEDIATE,done or happening without delay [adj IMMEDIATELY]
IMMENSELY,IMMENSEhuge [adv]
IMMENSEST,IMMENSEhuge [adj]
IMMENSITY,the quality of being immense [n IMMENSITIES]
IMMERGING,IMMERGEto plunge into a liquid
IMMERSERS,IMMERSERone who immerses [n]
IMMERSING,IMMERSEto plunge into a liquid
IMMERSION,the act of immersing [n -S]
IMMERSIVE,providing stimulation for a number of sensesnot just sight and sound [adj]
IMMESHING,IMMESHto entangle
IMMIGRANT,a person who immigratesalso INMIGRANT [n -S]
IMMIGRATE,to migrate into a country with the intention of settling in it [v IMMIGRATEDIMMIGRATING
IMMINENCE,the quality of being imminentalso IMMINENCY [n -S]
IMMINENCY,the quality of being imminentalso IMMINENCE [n IMMINENCIES]
IMMINGLED,IMMINGLEto mix [v]
IMMINGLES,IMMINGLEto mix [v]
IMMISSION,insertion; infusion [n -S]
IMMITTING,IMMIT(obsolete) to insert
IMMIXTURE,freedom from mixture; purity [n -S]
IMMODESTY,lack of modesty [n IMMODESTIES]
IMMOLATED,IMMOLATEto kill as a sacrifice [v]
IMMOLATES,IMMOLATEto kill as a sacrifice [v]
IMMOLATOR,one who offers in sacrifice; specificallyone of a sect of Russian fanatics who practice self-mutilation and sacrifice [n -S]
IMMORALLY,IMMORALpromiscuous or unscrupulous [adv]
IMMORTALS,IMMORTALone who is not subject to death [n]
IMMOVABLE,that cannot be movedalso IMMOVEABLE [adj IMMOVABLY] / something immovable [n -S]
IMMOVABLY,IMMOVABLEthat cannot be moved
IMMUNISED,IMMUNISEto render immune from infection
IMMUNISER,one that renders immune from infectionalso IMMUNIZER [n -S]
IMMUNISES,IMMUNISEto render immune from infection
IMMUNIZED,IMMUNIZEto render immune from infection
IMMUNIZER,one that renders immune from infectionalso IMMUNISER [n -S]
IMMUNIZES,IMMUNIZEto render immune from infection
IMMUNOGEN,an antigen [n -S]
IMMUTABLE,that cannot be changed [adj IMMUTABLY]
IMMUTABLY,IMMUTABLEthat cannot be changed [adv]
IMPACABLE,not able to be quieted or appeased [adj]
IMPACTERS,IMPACTERone that impacts
IMPACTFUL,full of impact [adj]
IMPACTING,IMPACTto fix firmly together [v]
IMPACTION,the driving of one fragment of bone into another so that the fragments are not movable upon each other [n -S]
IMPACTITE,a rocktypically glassy
IMPACTIVE,relating to impact [adj]
IMPACTORS,IMPACTORone that impacts
IMPAINTED,IMPAINT(Shakespeare) to paint or depict [v]
IMPAIRERS,IMPAIRERone who
IMPAIRING,the act of making worse [n -S]
IMPANELED,IMPANELto put onto a list for jury duty
IMPANNELS,IMPANNELto put onto a list for jury duty
IMPARKING,IMPARKto enclose in a park [v]
IMPARLING,IMPARLto talk over
IMPARTERS,IMPARTERone who imparts [n]
IMPARTIAL,not partialnot biased [adj IMPARTIALLY]
IMPARTING,IMPARTto communicate
IMPASSION,to arouse the passions of [v -ED-ING
IMPASSIVE,not showing feeling or emotion [adj IMPASSIVELY]
IMPASTING,IMPASTEto lay colours on thickly [v]
IMPASTOED,with impasto applied [adj]
IMPATIENS,(Latin) a genus of plantsso called because the elastic capsules burst when touched
IMPATIENT,not patient [adj IMPATIENTLY]
IMPAVIDLY,IMPAVIDfearless; undaunted [adv]
IMPAWNING,IMPAWN(archaic) to stake
IMPEACHED,IMPEACHto accuse of impropriety
IMPEACHER,one who impeaches [n -S]
IMPEACHES,IMPEACHto accuse of impropriety
IMPEARLED,IMPEARLto make pearl-like [v]
IMPECCANT,sinless; impeccable [adj]
IMPEDANCE,the measurementin ohms
IMPELLENT,something with the quality of impelling [n -S]
IMPELLERS,IMPELLERone that impels
IMPELLING,IMPELto drive forward [v]
IMPELLORS,IMPELLORone that impels
IMPENDENT,impending; threatening [adj]
IMPENDING,IMPENDto be imminent [v]
IMPENNATE,featherless; wingless [adj]
IMPERATOR,(Latin) a commander; an emperor [n -S]
IMPERFECT,not perfectalso UNPERFECT [adj IMPERFECTER
IMPERIALS,IMPERIALan emperor or member of an imperial family [n]
IMPERILED,IMPERILto put in danger
IMPERIOUS,assuming command; haughty [adj IMPERIOUSLY]
IMPERIUMS,IMPERIUM(Latin) empire
IMPETICOS,(Shakespeare) a word of doubtful meaningperhaps to impocket [v IMPETICOSSED
IMPETIGOS,IMPETIGO(Latin) a skin disease [n]
IMPETRATE,to obtain by entreatyrequest or prayer [v IMPETRATED
IMPETUOUS,tending to act in a rash or impulsive manner [adj IMPETUOUSLY]
IMPETUSES,IMPETUS(Latin) the force or energy with which a body moves [n]
IMPIETIES,IMPIETYlack of piety [n]
IMPINGENT,striking against or upon [adj]
IMPINGERS,IMPINGERone that impinges [n]
IMPINGING,IMPINGEto collide with [v]
IMPIOUSLY,IMPIOUSnot pious [adv]
IMPLANTED,IMPLANTto plant firmly [v]
IMPLANTER,one who implants [n -S]
IMPLATING,IMPLATEto put a covering plate over [v]
IMPLEADED,IMPLEADto sue in a court of law [v]
IMPLEADER,one who prosecutes or sues another [n -S]
IMPLEDGED,IMPLEDGEto pawn
IMPLEDGES,IMPLEDGEto pawn
IMPLEMENT,to put into practice [v -ED-ING
IMPLETING,IMPLETE(archaic) to fill [v]
IMPLETION,fillingfullness [n -S]
IMPLEXION,the act of involvingor state of being involved [n -S]
IMPLICATE,to involveto entangle [v IMPLICATED
IMPLICITY,a state of being implicit [n IMPLICITIES]
IMPLIEDLY,IMPLIEDIMPLY
IMPLODENT,an implosive sound [n -S]
IMPLODING,IMPLODEto collapse inward [v]
IMPLORERS,IMPLORERone who implores [n]
IMPLORING,IMPLOREto beg for urgently [v]
IMPLOSION,the act of imploding [n -S]
IMPLOSIVE,of or relating to implosion [adj IMPLOSIVELY] / an implosive consonant [n -S]
IMPLUNGED,IMPLUNGEto plunge
IMPLUNGES,IMPLUNGEto plunge
IMPLUVIUM,(Latin) a rain water receptacle in Roman houses [n IMPLUVIA]
IMPOCKETS,IMPOCKET(archaic) to put in one's pocket [v]
IMPOLDERS,IMPOLDER(Dutch) to reclaim low-lying land
IMPOLITER,IMPOLITEhaving bad manners [adj]
IMPOLITIC,not politicalso IMPOLITICAL
IMPONENTS,IMPONENTsomeone who imposes an obligation [n]
IMPORTANT,of great import or consequence [adj IMPORTANTLY]
IMPORTERS,IMPORTERone that imports [n]
IMPORTING,the act of importing [n -S]
IMPORTUNE,importunate [adj IMPORTUNELY] / to press or urge with repeated requests [v IMPORTUNEDIMPORTUNING
IMPOSABLE,capable of being imposed or laid on [adj]
IMPOSEXES,IMPOSEXthe superimposition of male sexual characteristics onto female gastropods
IMPOSTERS,IMPOSTERone who poses as another to deceive
IMPOSTING,IMPOSTto determine customs duties [v]
IMPOSTORS,IMPOSTORone who poses as another to deceive
IMPOSTUME,(archaic) an abscessalso IMPOSTHUME [n -S]
IMPOSTURE,a fraudthe act of an impostor [n -S]
IMPOTENCE,lack of poweralso IMPOTENCY [n -S]
IMPOTENCY,lack of poweralso IMPOTENCE [n IMPOTENCIES]
IMPOTENTS,IMPOTENTone who is impotent [n]
IMPOUNDED,IMPOUNDto seize and retain in legal custody [v]
IMPOUNDER,one who impounds [n -S]
IMPOWERED,IMPOWERto authorize
IMPRECATE,to call down by prayer; to curse; to invoke evil on [v IMPRECATEDIMPRECATING
IMPRECISE,not precisealso UNPRECISE [adj IMPRECISELY]
IMPREGNED,IMPREGN(archaic) to impregnate [v]
IMPRESARI,IMPRESARIOan organizer
IMPRESSED,IMPRESSto fix deeply in the mind [v]
IMPRESSER,one who impresses [n -S]
IMPRESSES,IMPRESSto fix deeply in the mind [v]
IMPRINTED,IMPRINTto produce a mark by pressure [v]
IMPRINTER,one who imprints [n -S]
IMPRISONS,IMPRISONto confine in a prison [v]
IMPROBITY,dishonesty [n IMPROBITIES]
IMPROMPTU,(Latin) improvisedspontaneous [adj] / a short piece of impromptu music [n -S]
IMPROVERS,IMPROVERone who improves [n]
IMPROVING,IMPROVEto make better [v]
IMPROVISE,to compose and reciteor perform
IMPRUDENT,not prudentrash [adj IMPRUDENTLY]
IMPSONITE,an organic compound of the asphaltic group [n -S]
IMPUDENCE,shameless boldnessalso IMPUDENCY [n -S]
IMPUDENCY,shameless boldnessalso IMPUDENCE [n IMPUDENCIES]
IMPUGNERS,IMPUGNERone who impugns
IMPUGNING,IMPUGNto attack by words [v]
IMPULSING,IMPULSEto give impetus to [v]
IMPULSION,the act of impelling or driving onward [n -S]
IMPULSIVE,given to acting on impulse [adj IMPULSIVELY]
IMPUNDULU,(Bantu) a mythical bird with magical powersoften identified with the secretary bird [n -S]
IMPURPLED,IMPURPLEto dye purple
IMPURPLES,IMPURPLEto dye purple
IMPUTABLE,that can be imputed [adj IMPUTABLY]
IMPUTABLY,IMPUTABLEthat can be imputed [adv]
INABILITY,the absence of an inability [n INABILITIES]
INACTIONS,INACTIONlack of action [n]
INAIDABLE,(Shakespeare) that cannot be aidedalso UNAIDABLE [adj]
INAMORATA,(Italian) a (female) lover; beloved person [n -S]
INAMORATI,INAMORATO(Italian) a (male) lover; beloved person [n]
INAMORATO,(Italian) a (male) lover; beloved person [n INAMORATI or INAMORATOS]
INANENESS,the state of being inane [n -ES]
INANIMATE,not alive [adj INANIMATELY]
INANITIES,INANITYsomething that is inane [n]
INANITION,a condition of exhaustion resulting from lack of nourishment [n -S]
INAPTNESS,the state of being inapt [n -ES]
INARCHING,INARCHto graft in a certain way [v]
INAUDIBLE,that cannot be heard [adj INAUDIBLY]
INAUDIBLY,INAUDIBLEthat cannot be heard [adv]
INAUGURAL,relating toor done at
INAURATED,INAURATEto cover with gold [v]
INAURATES,INAURATEto cover with gold [v]
INBOUNDED,INBOUNDto return a basketball to play from out of bounds [v]
INBREATHE,to infuse by breathing; to inspire [v INBREATHEDINBREATHING
INBREEDER,one who inbreeds [n -S]
INBROUGHT,INBRINGto bring in [v]
INBURNING,(Spenser) burning within [adj]
INCANTING,INCANTto utter ritually [v]
INCAPABLE,not capable [adj INCAPABLY] / one who is in incapable [n -S]
INCAPABLY,INCAPABLEnot capable [adv]
INCARNATE,to embody in fleshgive human form to [v INCARNATED
INCAUTION,want of caution [n -S]
INCENSERS,INCENSERa burner of incense
INCENSING,INCENSEto make very angry [v]
INCENSORS,INCENSORa burner of incense
INCENSORY,the vessel in which incense is burned and offeredaka censer or thurible [n INCENSORIES]
INCENTERS,INCENTERthe centre of an inscribed circle
INCENTING,INCENTto provide with an incentive [v]
INCENTIVE,inciting to action [adj INCENTIVELY] / that which incites to actiona stimulus [n -S]
INCENTRES,INCENTREthe centre of an inscribed circle
INCEPTING,INCEPTto take into the body [v]
INCEPTION,a beginning [n -S]
INCEPTIVE,marking the beginning or formation [adj INCEPTIVELY] / an inceptive verb [n -S]
INCEPTORS,INCEPTORa beginner [n]
INCERTAIN,(obsolete) uncertain; doubtfulalso UNCERTAIN [adj]
INCESSANT,unceasingalso UNCESSANT [adj INCESSANTLY]
INCHASING,INCHASEto place in an ornamental border
INCHOATED,INCHOATEto make a beginning
INCHOATES,INCHOATEto make a beginning
INCHTAPES,INCHTAPEa measuring tape marked out in inches [n]
INCHWORMS,INCHWORManother name for the looper caterpillar [n]
INCIDENCE,the frequency of an event [n -S]
INCIDENTS,INCIDENTan event [n]
INCIPIENT,beginning; in an early stage [adj INCIPIENTLY]
INCISIONS,INCISIONthe act of incising [n]
INCISURAL,relating to an incisure [adj]
INCISURES,INCISUREa cut or incision [n]
INCITABLE,capable of being incited [adj]
INCITANTS,INCITANTsomething that incites [n]
INCIVISMS,INCIVISMneglect of duty as a citizen [n]
INCLASPED,INCLASPto embrace
INCLEMENT,severestormy [adj INCLEMENTLY]
INCLINERS,INCLINERsomething or someone that inclines [n]
INCLINING,an inclinationa following [n -S]
INCLIPPED,INCLIP(archaic) to clasp; to inclose [v]
INCLOSERS,INCLOSERone who
INCLOSING,INCLOSEto surround
INCLOSURE,the act of inclosing; the separation of land from common ground by a fencealso ENCLOSURE [n -S]
INCLUDING,INCLUDEto take in as part of a whole [v]
INCLUSION,a fragment of older rock caught up in an igneous rock [n -S]
INCLUSIVE,comprehensive; including everything [adj INCLUSIVELY]
INCOGNITA,(Italian) a woman who is unknown or in disguise [n -S]
INCOGNITO,(Italian) a man who is unknown or in disguise [n -S]
INCOMINGS,INCOMINGan arrival [n]
INCOMMODE,to put to inconveniencealso DISCOMMODE [v INCOMMODED
INCOMPACT,not compact [adj]
INCONDITE,not well put together; poorly constructed [adj INCONDITELY]
INCONNUES,INCONNUE(French) an unknown (female) person [n]
INCORPSED,INCORPSEto incorporate [v]
INCORPSES,INCORPSEto incorporate [v]
INCORRECT,not correct [adj INCORRECTLY]
INCORRUPT,not corruptalso UNCORRUPT [adj INCORRUPTLY]
INCREASED,INCREASEto become larger
INCREASER,one who increases [n -S]
INCREASES,INCREASEto become larger
INCREMATE,(obsolete) to cremate [v INCREMATEDINCREMATING
INCREMENT,to add 1 to the value in a storage location [v -ED-ING
INCRETION,internal secretion [n -S]
INCRETORY,relating to incretioninternal secretion [adj]
INCROSSED,INCROSSto produce by crossing two inbred individuals of different breeds
INCROSSES,INCROSSto produce by crossing two inbred individuals of different breeds
INCRUSTED,INCRUSTto cover with a crust
INCUBATED,INCUBATEto warm eggs for hatching [v]
INCUBATES,INCUBATEto warm eggs for hatching [v]
INCUBATOR,an apparatus for hatching eggs by artificial heat [n -S]
INCUBUSES,INCUBUS(Latin) an evil spirit that lies on women in their sleep [n]
INCULCATE,to teach and impress by frequent repetitions or admonitions [v INCULCATEDINCULCATING
INCULPATE,to blame; to incriminate [v INCULPATEDINCULPATING
